Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,131.521,-70.649,90.0,bottom
J1,Conn_01x04,PinHeader_2x02_P2.54mm_Vertical_SMD,131.525,-70.612,0.0,top
